title,url,release_date,critic_score,audience_score,average_rating,release_date_clean,release_date_parsed
Southern Gospel,https://www.rottentomatoes.com/m/southern_gospel,"Released Mar 10, 2023",100.0,98.0,99.0,"Mar 10, 2023",2023-03-10
Pinball: The Man Who Saved the Game,https://www.rottentomatoes.com/m/pinball_the_man_who_saved_the_game,"Released Mar 17, 2023",95.0,91.0,93.0,"Mar 17, 2023",2023-03-17
John Wick: Chapter 4,https://www.rottentomatoes.com/m/john_wick_chapter_4,"Released Mar 24, 2023",94.0,93.0,93.5,"Mar 24, 2023",2023-03-24
Dungeons & Dragons: Honor Among Thieves,https://www.rottentomatoes.com/m/dungeons_and_dragons_honor_among_thieves,"Released Mar 31, 2023",91.0,93.0,92.0,"Mar 31, 2023",2023-03-31
A Thousand and One,https://www.rottentomatoes.com/m/a_thousand_and_one,"Released Mar 31, 2023",97.0,85.0,91.0,"Mar 31, 2023",2023-03-31
Guy Ritchie's The Covenant,https://www.rottentomatoes.com/m/guy_ritchies_the_covenant,"Released Apr 21, 2023",83.0,98.0,90.5,"Apr 21, 2023",2023-04-21
Somewhere in Queens,https://www.rottentomatoes.com/m/somewhere_in_queens,"Released Apr 21, 2023",90.0,92.0,91.0,"Apr 21, 2023",2023-04-21
"Are You There God? It's Me, Margaret.",https://www.rottentomatoes.com/m/are_you_there_god_its_me_margaret,"Released Apr 28, 2023",99.0,95.0,97.0,"Apr 28, 2023",2023-04-28
Sisu,https://www.rottentomatoes.com/m/sisu,"Released Apr 28, 2023",94.0,88.0,91.0,"Apr 28, 2023",2023-04-28
Guardians of the Galaxy Vol. 3,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3,"Released May 5, 2023",82.0,94.0,88.0,"May 5, 2023",2023-05-05
The Starling Girl,https://www.rottentomatoes.com/m/the_starling_girl,"Released May 12, 2023",92.0,97.0,94.5,"May 12, 2023",2023-05-12
Past Lives,https://www.rottentomatoes.com/m/past_lives,"Released Jun 30, 2023",95.0,84.0,89.5,"Jun 30, 2023",2023-06-30
