title,url,release_date,critic_score,audience_score
The Draughtsman's Contract,https://www.rottentomatoes.com/m/draughtsmans_contract,"Released Feb 19, 1983",97.0,85.0
First Blood,https://www.rottentomatoes.com/m/first_blood,1982,86.0,86.0
The Man From Snowy River,https://www.rottentomatoes.com/m/man_from_snowy_river,1982,85.0,89.0
Gandhi,https://www.rottentomatoes.com/m/gandhi,"Released Nov 30, 1982",89.0,92.0
The Verdict,https://www.rottentomatoes.com/m/verdict,"Released Dec 8, 1982",88.0,88.0
Trading Places,https://www.rottentomatoes.com/m/trading_places,1983,89.0,85.0
Local Hero,https://www.rottentomatoes.com/m/local_hero,"Released Feb 17, 1983",100.0,87.0
Nostalghia,https://www.rottentomatoes.com/m/nostalghia,"Released Jan 8, 1984",88.0,90.0
Trading Places,https://www.rottentomatoes.com/m/trading_places,1983,89.0,85.0
Zelig,https://www.rottentomatoes.com/m/zelig,"Released Jul 15, 1983",97.0,88.0
National Lampoon's Vacation,https://www.rottentomatoes.com/m/national_lampoons_vacation,"Released Jul 29, 1983",94.0,85.0
The Right Stuff,https://www.rottentomatoes.com/m/the_right_stuff,"Released Sep 9, 1983",96.0,90.0
The Right Stuff,https://www.rottentomatoes.com/m/right_stuff,"Released Sep 9, 1983",96.0,90.0
The Dresser,https://www.rottentomatoes.com/m/dresser,"Released Dec 6, 1983",100.0,86.0
To Be or Not to Be,https://www.rottentomatoes.com/m/to_be_or_not_to_be,"Released Mar 6, 1942",96.0,93.0
Ghostbusters,https://www.rottentomatoes.com/m/ghostbusters,"Released Jun 8, 1984",95.0,88.0
Unfaithfully Yours,https://www.rottentomatoes.com/m/unfaithfully_yours,"Released Nov 5, 1948",94.0,85.0
This Is Spinal Tap,https://www.rottentomatoes.com/m/this_is_spinal_tap,Now Playing,96.0,92.0
Phar Lap,https://www.rottentomatoes.com/m/phar_lap,1983,88.0,93.0
Once Upon a Time in America,https://www.rottentomatoes.com/m/once_upon_a_time_in_america,1984,86.0,93.0
Ghostbusters,https://www.rottentomatoes.com/m/ghostbusters,"Released Jun 8, 1984",95.0,88.0
Love Streams,https://www.rottentomatoes.com/m/love_streams,"Released Aug 24, 1984",100.0,88.0
Amadeus,https://www.rottentomatoes.com/m/amadeus,"Released Nov 13, 1984",89.0,95.0
Stop Making Sense,https://www.rottentomatoes.com/m/stop_making_sense,"Released Oct 18, 1984",100.0,97.0
"Paris, Texas",https://www.rottentomatoes.com/m/paris_texas,Now Playing,94.0,93.0
The Terminator,https://www.rottentomatoes.com/m/the_terminator,"Released Oct 26, 1984",100.0,89.0
The Terminator,https://www.rottentomatoes.com/m/terminator,"Released Oct 26, 1984",100.0,89.0
The Times of Harvey Milk,https://www.rottentomatoes.com/m/the_times_of_harvey_milk,"Released Sep 20, 1984",96.0,94.0
The Times of Harvey Milk,https://www.rottentomatoes.com/m/times_of_harvey_milk,"Released Sep 20, 1984",96.0,94.0
The Killing Fields,https://www.rottentomatoes.com/m/the_killing_fields,"Released Nov 2, 1984",93.0,91.0
The Killing Fields,https://www.rottentomatoes.com/m/killing_fields,"Released Nov 2, 1984",93.0,91.0
Back to the Future,https://www.rottentomatoes.com/m/back_to_the_future,"Released Jul 3, 1985",93.0,95.0
Water,https://www.rottentomatoes.com/m/water,2005,91.0,90.0
Blood Simple,https://www.rottentomatoes.com/m/blood_simple,"Released Jul 7, 1984",94.0,88.0
The Breakfast Club,https://www.rottentomatoes.com/m/breakfast_club,"Released Feb 15, 1985",89.0,92.0
The Purple Rose of Cairo,https://www.rottentomatoes.com/m/purple_rose_of_cairo,"Released Mar 1, 1985",93.0,88.0
Back to the Future,https://www.rottentomatoes.com/m/back_to_the_future,"Released Jul 3, 1985",93.0,95.0
The Official Story,https://www.rottentomatoes.com/m/official_story,"Released Nov 8, 1985",100.0,89.0
Ran,https://www.rottentomatoes.com/m/ran,Now Playing,96.0,95.0
The Trip to Bountiful,https://www.rottentomatoes.com/m/the_trip_to_bountiful,"Released Jan 24, 1986",100.0,86.0
The Trip to Bountiful,https://www.rottentomatoes.com/m/trip_to_bountiful,"Released Jan 24, 1986",100.0,86.0
Platoon,https://www.rottentomatoes.com/m/platoon,"Released Dec 19, 1986",89.0,93.0
Hannah and Her Sisters,https://www.rottentomatoes.com/m/hannah_and_her_sisters,"Released Feb 7, 1986",91.0,90.0
Salvador,https://www.rottentomatoes.com/m/salvador,"Released Apr 23, 1986",90.0,85.0
Blue Velvet,https://www.rottentomatoes.com/m/blue_velvet,"Released Sep 19, 1986",95.0,88.0
Down by Law,https://www.rottentomatoes.com/m/down_by_law,Now Playing,88.0,93.0
Round Midnight,https://www.rottentomatoes.com/m/round_midnight,"Released Sep 12, 1986",100.0,89.0
Hoosiers,https://www.rottentomatoes.com/m/hoosiers,"Released Nov 14, 1986",91.0,88.0
Platoon,https://www.rottentomatoes.com/m/platoon,"Released Dec 19, 1986",89.0,93.0
Raising Arizona,https://www.rottentomatoes.com/m/raising_arizona,"Released Mar 1, 1987",91.0,85.0
Withnail and I,https://www.rottentomatoes.com/m/withnail_and_i,1987,92.0,94.0
The Allnighter,https://www.rottentomatoes.com/m/the_allnighter,2023,100.0,92.0
Full Metal Jacket,https://www.rottentomatoes.com/m/full_metal_jacket,"Released Jun 1, 1987",90.0,94.0
Matewan,https://www.rottentomatoes.com/m/matewan,"Released Aug 28, 1987",94.0,93.0
Chuck Berry Hail! Hail! Rock 'n' Roll,https://www.rottentomatoes.com/m/chuck_berry_hail_hail_rock_n_roll,1987,89.0,95.0
The Princess Bride,https://www.rottentomatoes.com/m/the_princess_bride,"Released Oct 1, 1987",96.0,94.0
The Princess Bride,https://www.rottentomatoes.com/m/princess_bride,"Released Oct 1, 1987",96.0,94.0
No Man's Land,https://www.rottentomatoes.com/m/no_mans_land,"Released Dec 21, 2001",93.0,92.0
The Last Emperor,https://www.rottentomatoes.com/m/last_emperor,"Released Nov 18, 1987",86.0,88.0
"Planes, Trains and Automobiles",https://www.rottentomatoes.com/m/planes_trains_and_automobiles,"Released Nov 27, 1987",92.0,87.0
Rain Man,https://www.rottentomatoes.com/m/rain_man,"Released Dec 14, 1988",88.0,90.0
Who Framed Roger Rabbit,https://www.rottentomatoes.com/m/who_framed_roger_rabbit,"Released Jun 21, 1988",96.0,85.0
Die Hard,https://www.rottentomatoes.com/m/die_hard,"Released Jul 15, 1988",94.0,94.0
Elevator to the Gallows,https://www.rottentomatoes.com/m/frantic,"Released Jun 10, 1958",93.0,91.0
